,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
0,su,fechner,7,0.094,147.0,0.085,158.0,0.081,161.0,0.062,209.0,0.365,147.0,0.302,158.0,0.275,166.0,0.16,256.0,3.0,8.0,48.0,90.0,1.561
3,su,igain,7,0.094,147.0,0.085,158.0,0.081,161.0,0.062,208.0,0.135,149.0,0.105,158.0,0.099,163.0,0.059,286.0,3.0,5.0,47.0,123.0,1.439
2,su,pearson,6,0.093,148.0,0.085,158.0,0.081,161.0,0.064,202.0,0.397,149.0,0.339,157.0,0.318,162.0,0.249,199.0,3.0,5.0,41.0,37.0,1.147
8,su,anova,6,0.093,148.0,0.085,158.0,0.081,161.0,0.064,202.0,0.682,149.0,0.473,157.0,0.41,162.0,0.242,199.0,3.0,5.0,41.0,37.0,1.147
1,su,spearman,6,0.093,148.0,0.085,158.0,0.081,161.0,0.062,208.0,0.418,150.0,0.347,158.0,0.331,162.0,0.271,193.0,3.0,4.0,47.0,31.0,1.076
19,spearman,gini,2,0.353,156.0,0.352,157.0,0.345,159.0,0.34,160.0,0.093,157.0,0.092,158.0,0.085,164.0,0.081,168.0,2.0,6.0,1.0,4.0,0.693
20,spearman,chi2,2,0.353,156.0,0.352,157.0,0.345,159.0,0.34,160.0,0.629,157.0,0.617,158.0,0.574,164.0,0.546,168.0,2.0,6.0,1.0,4.0,0.693
26,pearson,chi2,2,0.339,156.0,0.331,158.0,0.33,159.0,0.323,160.0,0.645,156.0,0.617,158.0,0.574,164.0,0.546,168.0,1.0,6.0,1.0,4.0,0.644
25,pearson,gini,2,0.339,156.0,0.331,158.0,0.33,159.0,0.323,160.0,0.096,156.0,0.092,158.0,0.085,164.0,0.081,168.0,1.0,6.0,1.0,4.0,0.644
18,spearman,igain,2,0.353,156.0,0.352,157.0,0.345,159.0,0.332,161.0,0.107,157.0,0.105,158.0,0.1,162.0,0.099,163.0,2.0,4.0,2.0,1.0,0.554
24,pearson,igain,2,0.339,156.0,0.331,158.0,0.33,159.0,0.315,163.0,0.109,156.0,0.105,158.0,0.1,162.0,0.099,163.0,1.0,4.0,4.0,1.0,0.51
41,chi2,anova,2,0.645,156.0,0.617,158.0,0.574,164.0,0.546,168.0,0.473,156.0,0.448,158.0,0.448,159.0,0.426,160.0,6.0,1.0,4.0,1.0,0.492
38,gini,anova,2,0.096,156.0,0.092,158.0,0.085,164.0,0.081,168.0,0.473,156.0,0.448,158.0,0.448,159.0,0.426,160.0,6.0,1.0,4.0,1.0,0.492
34,igain,anova,2,0.109,156.0,0.105,158.0,0.1,162.0,0.099,163.0,0.473,156.0,0.448,158.0,0.448,159.0,0.401,163.0,4.0,1.0,1.0,4.0,0.409
9,fechner,spearman,2,0.319,156.0,0.302,158.0,0.296,159.0,0.275,166.0,0.353,156.0,0.352,157.0,0.345,159.0,0.34,160.0,1.0,2.0,7.0,1.0,0.362
11,fechner,igain,1,0.302,158.0,0.302,158.0,0.29,161.0,0.29,161.0,0.105,158.0,0.105,158.0,0.105,159.0,0.105,159.0,3.0,1.0,0.0,0.0,0.295
31,igain,chi2,1,0.105,158.0,0.105,158.0,0.105,159.0,0.105,159.0,0.617,158.0,0.617,158.0,0.609,160.0,0.609,160.0,1.0,2.0,0.0,0.0,0.286
30,igain,gini,1,0.105,158.0,0.105,158.0,0.105,159.0,0.105,159.0,0.092,158.0,0.092,158.0,0.09,160.0,0.09,160.0,1.0,2.0,0.0,0.0,0.286
17,spearman,pearson,1,0.347,158.0,0.347,158.0,0.345,159.0,0.345,159.0,0.339,157.0,0.339,157.0,0.33,159.0,0.33,159.0,1.0,2.0,0.0,0.0,0.286
23,spearman,anova,1,0.347,158.0,0.347,158.0,0.345,159.0,0.345,159.0,0.473,157.0,0.473,157.0,0.448,159.0,0.448,159.0,1.0,2.0,0.0,0.0,0.286
16,fechner,anova,2,0.309,157.0,0.302,158.0,0.296,159.0,0.275,166.0,0.473,156.0,0.448,158.0,0.448,159.0,0.426,160.0,1.0,1.0,7.0,1.0,0.275
10,fechner,pearson,2,0.309,157.0,0.302,158.0,0.296,159.0,0.275,166.0,0.339,156.0,0.331,158.0,0.33,159.0,0.323,160.0,1.0,1.0,7.0,1.0,0.275
35,gini,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,pearson,anova,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,fechner,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,fechner,gini,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
