,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
24,pearson,igain,10,0.125,5.0,0.042,19.0,0.033,35.0,0.002,234.0,0.077,8.0,0.046,19.0,0.043,31.0,0.011,213.0,16.0,12.0,199.0,182.0,2.518
8,su,anova,9,0.024,8.0,0.016,19.0,0.015,34.0,0.006,204.0,0.234,7.0,0.031,19.0,0.008,63.0,0.0,221.0,15.0,44.0,170.0,158.0,2.465
2,su,pearson,9,0.024,8.0,0.016,19.0,0.015,34.0,0.006,204.0,0.114,7.0,0.042,19.0,0.021,63.0,0.004,221.0,15.0,44.0,170.0,158.0,2.465
21,spearman,reliefF,8,0.057,12.0,0.041,19.0,0.022,68.0,0.007,191.0,0.023,5.0,0.008,19.0,0.004,50.0,0.0,237.0,49.0,31.0,123.0,187.0,2.439
1,su,spearman,9,0.024,8.0,0.016,19.0,0.015,34.0,0.006,197.0,0.114,7.0,0.041,19.0,0.022,65.0,0.005,209.0,15.0,46.0,163.0,144.0,2.425
18,spearman,igain,10,0.133,5.0,0.041,19.0,0.038,27.0,0.005,213.0,0.077,8.0,0.046,19.0,0.043,31.0,0.013,198.0,8.0,12.0,186.0,167.0,2.371
14,fechner,reliefF,8,0.052,12.0,0.04,18.0,0.029,43.0,0.005,204.0,0.023,5.0,0.008,19.0,0.004,50.0,0.0,243.0,25.0,31.0,161.0,193.0,2.368
27,pearson,reliefF,8,0.05,12.0,0.042,19.0,0.016,110.0,0.009,168.0,0.023,5.0,0.008,19.0,0.004,50.0,0.001,169.0,91.0,31.0,58.0,119.0,2.313
43,reliefF,anova,8,0.023,5.0,0.008,19.0,0.004,50.0,0.001,169.0,0.045,12.0,0.031,19.0,0.005,110.0,0.001,168.0,31.0,91.0,119.0,58.0,2.308
39,chi2,reliefF,7,0.393,13.0,0.358,19.0,0.32,39.0,0.101,199.0,0.037,1.0,0.008,19.0,0.004,58.0,0.001,223.0,20.0,39.0,160.0,165.0,2.187
36,gini,reliefF,7,0.044,13.0,0.04,19.0,0.036,39.0,0.012,199.0,0.037,1.0,0.008,19.0,0.004,58.0,0.001,223.0,20.0,39.0,160.0,165.0,2.187
32,igain,reliefF,7,0.051,13.0,0.046,19.0,0.041,42.0,0.013,197.0,0.037,1.0,0.008,19.0,0.004,49.0,0.001,223.0,23.0,30.0,155.0,174.0,2.152
6,su,reliefF,6,0.017,12.0,0.016,19.0,0.014,47.0,0.006,190.0,0.037,1.0,0.008,19.0,0.004,58.0,0.001,223.0,28.0,39.0,143.0,165.0,2.102
10,fechner,pearson,5,0.052,12.0,0.04,19.0,0.031,34.0,0.02,88.0,0.047,15.0,0.042,19.0,0.04,23.0,0.022,58.0,15.0,4.0,54.0,35.0,0.89
16,fechner,anova,5,0.052,12.0,0.04,19.0,0.031,34.0,0.02,88.0,0.039,15.0,0.031,19.0,0.029,23.0,0.009,58.0,15.0,4.0,54.0,35.0,0.89
9,fechner,spearman,4,0.052,12.0,0.04,19.0,0.033,29.0,0.021,80.0,0.042,16.0,0.041,19.0,0.039,24.0,0.03,39.0,10.0,5.0,51.0,15.0,0.676
3,su,igain,2,0.017,18.0,0.016,19.0,0.016,21.0,0.016,22.0,0.046,18.0,0.046,19.0,0.046,22.0,0.038,66.0,2.0,3.0,1.0,44.0,0.352
23,spearman,anova,4,0.042,15.0,0.041,19.0,0.041,20.0,0.034,31.0,0.039,15.0,0.031,19.0,0.031,20.0,0.029,23.0,1.0,1.0,11.0,3.0,0.333
17,spearman,pearson,4,0.042,15.0,0.041,19.0,0.041,20.0,0.034,31.0,0.047,15.0,0.042,19.0,0.041,20.0,0.04,23.0,1.0,1.0,11.0,3.0,0.333
5,su,chi2,2,0.017,18.0,0.016,19.0,0.016,20.0,0.016,21.0,0.362,18.0,0.358,19.0,0.353,23.0,0.305,54.0,1.0,4.0,1.0,31.0,0.301
4,su,gini,2,0.017,18.0,0.016,19.0,0.016,20.0,0.016,21.0,0.041,18.0,0.04,19.0,0.04,23.0,0.035,54.0,1.0,4.0,1.0,31.0,0.301
31,igain,chi2,1,0.046,19.0,0.046,19.0,0.046,21.0,0.046,21.0,0.358,19.0,0.358,19.0,0.356,21.0,0.356,21.0,2.0,2.0,0.0,0.0,0.096
30,igain,gini,1,0.046,19.0,0.046,19.0,0.046,21.0,0.046,21.0,0.04,19.0,0.04,19.0,0.04,21.0,0.04,21.0,2.0,2.0,0.0,0.0,0.096
35,gini,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,pearson,anova,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
