,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
8,su,anova,9,0.03,8.0,0.019,19.0,0.017,79.0,0.006,399.0,0.296,5.0,0.046,19.0,0.01,148.0,0.0,445.0,60.0,129.0,320.0,297.0,2.828
14,fechner,reliefF,7,0.063,13.0,0.049,18.0,0.019,171.0,0.001,470.0,0.018,7.0,0.01,19.0,0.006,44.0,0.0,493.0,153.0,25.0,299.0,449.0,2.598
43,reliefF,anova,7,0.018,7.0,0.01,19.0,0.006,35.0,0.001,326.0,0.09,13.0,0.046,19.0,0.008,167.0,0.0,472.0,16.0,148.0,291.0,305.0,2.355
27,pearson,reliefF,7,0.069,13.0,0.05,19.0,0.021,167.0,0.002,472.0,0.018,7.0,0.01,19.0,0.006,35.0,0.001,326.0,148.0,16.0,305.0,291.0,2.342
6,su,reliefF,7,0.026,10.0,0.019,19.0,0.018,49.0,0.003,470.0,0.024,3.0,0.01,19.0,0.006,45.0,0.001,419.0,30.0,26.0,421.0,374.0,2.154
21,spearman,reliefF,7,0.07,13.0,0.052,19.0,0.024,142.0,0.004,419.0,0.018,7.0,0.01,19.0,0.008,21.0,0.001,326.0,123.0,2.0,277.0,305.0,2.147
32,igain,reliefF,7,0.082,10.0,0.056,19.0,0.051,41.0,0.005,471.0,0.024,3.0,0.01,19.0,0.006,45.0,0.001,419.0,22.0,26.0,430.0,374.0,2.12
39,chi2,reliefF,7,0.588,10.0,0.402,19.0,0.376,36.0,0.032,467.0,0.024,3.0,0.01,19.0,0.006,45.0,0.001,421.0,17.0,26.0,431.0,376.0,2.095
36,gini,reliefF,7,0.071,10.0,0.049,19.0,0.046,36.0,0.005,467.0,0.024,3.0,0.01,19.0,0.006,45.0,0.001,421.0,17.0,26.0,431.0,376.0,2.095
10,fechner,pearson,3,0.063,13.0,0.049,18.0,0.047,20.0,0.032,71.0,0.058,15.0,0.05,18.0,0.034,61.0,0.027,105.0,2.0,43.0,51.0,44.0,0.647
16,fechner,anova,3,0.063,13.0,0.049,18.0,0.047,20.0,0.032,71.0,0.062,15.0,0.046,18.0,0.021,61.0,0.013,105.0,2.0,43.0,51.0,44.0,0.647
9,fechner,spearman,4,0.063,13.0,0.049,18.0,0.047,20.0,0.039,44.0,0.057,15.0,0.052,19.0,0.052,20.0,0.035,48.0,2.0,1.0,24.0,28.0,0.383
17,spearman,pearson,2,0.055,17.0,0.053,18.0,0.052,20.0,0.05,21.0,0.05,18.0,0.05,19.0,0.049,20.0,0.047,23.0,2.0,1.0,1.0,3.0,0.14
23,spearman,anova,2,0.055,17.0,0.053,18.0,0.052,20.0,0.05,21.0,0.046,18.0,0.046,19.0,0.045,20.0,0.041,23.0,2.0,1.0,1.0,3.0,0.14
5,su,chi2,1,0.02,15.0,0.02,15.0,0.019,20.0,0.019,20.0,0.402,19.0,0.402,19.0,0.401,20.0,0.401,20.0,5.0,1.0,0.0,0.0,0.092
4,su,gini,1,0.02,15.0,0.02,15.0,0.019,20.0,0.019,20.0,0.049,19.0,0.049,19.0,0.049,20.0,0.049,20.0,5.0,1.0,0.0,0.0,0.092
31,igain,chi2,1,0.057,17.0,0.057,17.0,0.056,20.0,0.056,20.0,0.402,19.0,0.402,19.0,0.401,20.0,0.401,20.0,3.0,1.0,0.0,0.0,0.079
30,igain,gini,1,0.057,17.0,0.057,17.0,0.056,20.0,0.056,20.0,0.049,19.0,0.049,19.0,0.049,20.0,0.049,20.0,3.0,1.0,0.0,0.0,0.079
35,gini,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,pearson,anova,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,su,igain,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
