,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
20,spearman,chi2,1,0.356,19.0,0.356,19.0,0.336,26.0,0.336,26.0,0.664,18.0,0.664,18.0,0.548,33.0,0.548,33.0,7.0,15.0,0.0,0.0,0.391
19,spearman,gini,1,0.356,19.0,0.356,19.0,0.336,26.0,0.336,26.0,0.102,18.0,0.102,18.0,0.085,33.0,0.085,33.0,7.0,15.0,0.0,0.0,0.391
34,igain,anova,1,0.118,18.0,0.118,18.0,0.104,28.0,0.104,28.0,0.479,19.0,0.479,19.0,0.417,27.0,0.417,27.0,10.0,8.0,0.0,0.0,0.336
24,pearson,igain,1,0.342,19.0,0.342,19.0,0.322,27.0,0.322,27.0,0.118,18.0,0.118,18.0,0.104,28.0,0.104,28.0,8.0,10.0,0.0,0.0,0.336
18,spearman,igain,1,0.356,19.0,0.356,19.0,0.336,26.0,0.336,26.0,0.118,18.0,0.118,18.0,0.104,28.0,0.104,28.0,7.0,10.0,0.0,0.0,0.321
13,fechner,chi2,1,0.312,19.0,0.312,19.0,0.286,26.0,0.286,26.0,0.664,18.0,0.664,18.0,0.638,23.0,0.638,23.0,7.0,5.0,0.0,0.0,0.246
12,fechner,gini,1,0.312,19.0,0.312,19.0,0.286,26.0,0.286,26.0,0.102,18.0,0.102,18.0,0.099,23.0,0.099,23.0,7.0,5.0,0.0,0.0,0.246
11,fechner,igain,1,0.312,19.0,0.312,19.0,0.286,26.0,0.286,26.0,0.118,18.0,0.118,18.0,0.113,23.0,0.113,23.0,7.0,5.0,0.0,0.0,0.246
9,fechner,spearman,1,0.312,19.0,0.312,19.0,0.282,27.0,0.282,27.0,0.356,19.0,0.356,19.0,0.351,21.0,0.351,21.0,8.0,2.0,0.0,0.0,0.213
10,fechner,pearson,1,0.312,19.0,0.312,19.0,0.282,27.0,0.282,27.0,0.342,19.0,0.342,19.0,0.34,20.0,0.34,20.0,8.0,1.0,0.0,0.0,0.197
16,fechner,anova,1,0.312,19.0,0.312,19.0,0.282,27.0,0.282,27.0,0.479,19.0,0.479,19.0,0.471,20.0,0.471,20.0,8.0,1.0,0.0,0.0,0.197
17,spearman,pearson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,igain,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,igain,gini,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,gini,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,pearson,anova,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,spearman,anova,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
